index,Site EPA ID,Site Name,City,County,State,Zip Code,EPA Region,Date Type,Date,Site Score,Federal Facility Indicator,EPA ID,NPL Status,Superfund Alternative Approach Agreement?,Site URL
0,AL6210020008,Alabama Army Ammunition Plant,Childersburg,TALLADEGA,Alabama,35044,4,Listing Date,7/22/1987,36.83,Yes,AL6210020008,Final,No,www.epa.gov/superfund/alabama-army-ammunition-plant
1,ALD004022448,"Alabama Plating Company, Inc.",Vincent,SHELBY,Alabama,35178,4,Listing Date,9/18/2012,30.2,No,ALD004022448,Final,No,www.epa.gov/superfund/alabama-plating-co
2,ALD981868466,American Brass,Headland,HENRY,Alabama,36345,4,Listing Date,5/10/1999,55.61,No,ALD981868466,Final,No,www.epa.gov/superfund/american-brass
3,AL3210020027,Anniston Army Depot (Southeast Industrial Area),Anniston,CALHOUN,Alabama,36253,4,Listing Date,3/13/1989,51.91,Yes,AL3210020027,Final,No,www.epa.gov/superfund/anniston-army-depot
4,ALD001221902,Ciba-Geigy Corp. (McIntosh Plant),McIntosh,WASHINGTON,Alabama,36553,4,Listing Date,9/21/1984,53.42,No,ALD001221902,Final,No,www.epa.gov/superfund/ciba-geigy-corporation
5,ALD041906173,Interstate Lead Co. (ILCO),Leeds,JEFFERSON,Alabama,35094,4,Listing Date,6/10/1986,42.86,No,ALD041906173,Final,No,www.epa.gov/superfund/interstate-lead
6,ALD008188708,Olin Corp. (McIntosh Plant),McIntosh,WASHINGTON,Alabama,36553,4,Listing Date,9/21/1984,39.71,No,ALD008188708,Final,No,www.epa.gov/superfund/olin-corporation-mcintosh
7,AL7210020742,Redstone Arsenal (USARMY/NASA),Huntsville,MADISON,Alabama,35808,4,Listing Date,5/31/1994,50.0,Yes,AL7210020742,Final,No,www.epa.gov/superfund/redstone-aresenal
8,ALD095688875,Stauffer Chemical Co. (Cold Creek Plant),Bucks,MOBILE,Alabama,36512,4,Listing Date,9/21/1984,46.77,No,ALD095688875,Final,No,www.epa.gov/superfund/stauffer-chemical-cold-creek
9,ALD008161176,Stauffer Chemical Co. (LeMoyne Plant),Axis,MOBILE,Alabama,36505,4,Listing Date,9/21/1984,32.34,No,ALD008161176,Final,No,www.epa.gov/superfund/stauffer-chemical-lemoyne
10,ALD007454085,T.H. Agriculture & Nutrition Co. (Montgomery Plant),Montgomery,MONTGOMERY,Alabama,36108,4,Listing Date,8/30/1990,44.46,No,ALD007454085,Final,No,www.epa.gov/superfund/th-agriculture
11,ALD983166299,Triana/Tennessee River,"Limestone, Morgan",[blank county],Alabama,35898,4,Listing Date,9/8/1983,61.42,No,ALD983166299,Final,No,www.epa.gov/superfund/triana-tennessee-river
12,AK4170024323,Adak Naval Air Station,Adak,[blank county],Alaska,99546,10,Listing Date,5/31/1994,51.37,Yes,AK4170024323,Final,No,www.epa.gov/superfund/adak-nas
13,AK1570028646,Eielson Air Force Base,Fairbanks North Star Borough,FAIRBANKS NORTH STAR,Alaska,99702,10,Listing Date,11/21/1989,48.14,Yes,AK1570028646,Final,No,www.epa.gov/superfund/eielson-afb
14,AK8570028649,Elmendorf Air Force Base,Greater Anchorage Borough,[blank county],Alaska,99506,10,Listing Date,8/30/1990,45.91,Yes,AK8570028649,Final,No,www.epa.gov/superfund/elmendorf-afb
15,AK6214522157,Fort Richardson (USARMY),Anchorage,[blank county],Alaska,99505,10,Listing Date,5/31/1994,50.0,Yes,AK6214522157,Final,No,www.epa.gov/superfund/fort-richardson
16,AK6210022426,Fort Wainwright,Fairbanks North Star Borough,[blank county],Alaska,99703,10,Listing Date,8/30/1990,42.4,Yes,AK6210022426,Final,No,www.epa.gov/superfund/fort-wainwright
17,AK0001897602,Salt Chuck Mine,Thorne Bay,[blank county],Alaska,99919,10,Listing Date,3/4/2010,50.0,No,AK0001897602,Final,No,www.epa.gov/superfund/salt-chuck-mine
18,AZD008399263,Apache Powder Co.,St. David,COCHISE,Arizona,85630,9,Listing Date,8/30/1990,39.09,No,AZD008399263,Final,No,www.epa.gov/superfund/apachepowder
19,AZD980735666,Hassayampa Landfill,Hassayampa,MARICOPA,Arizona,85343,9,Listing Date,7/22/1987,42.79,No,AZD980735666,Final,No,www.epa.gov/superfund/hassayampalandfill
20,AZD980695969,Indian Bend Wash Area,Scottsdale,MARICOPA,Arizona,85253,9,Listing Date,9/8/1983,42.24,No,AZD980695969,Final,No,www.epa.gov/superfund/indianbendwash
21,AZ0000309013,Iron King Mine - Humboldt Smelter,Dewey-Humboldt,YAVAPAI,Arizona,86327,9,Listing Date,9/3/2008,52.69,No,AZ0000309013,Final,No,www.epa.gov/superfund/ironkingmine
22,AZD009004177,"Motorola, Inc. (52nd Street Plant)",Phoenix,MARICOPA,Arizona,85008,9,Listing Date,10/4/1989,40.83,No,AZD009004177,Final,No,www.epa.gov/superfund/motorola52ndst
23,AZD980695902,Phoenix-Goodyear Airport Area,"Avondale, Goodyear",MARICOPA,Arizona,85338,9,Listing Date,9/8/1983,45.91,No,AZD980695902,Final,No,www.epa.gov/superfund/phoenix-goodyearairport
